track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.33,171.005,0.059,0.53,0.0902,0.0,98.0,98.0,0.0,0,0,98
0.56,169.928,0.0996,0.53,0.33,0.0,95.0,95.0,0.0,0,0,95
0.438,104.978,0.0358,0.747,0.117,0.0,99.0,98.77391304347826,0.7349755342301022,0,0,98
0.788,167.033,0.0442,0.739,0.0948,0.0,85.0,85.0,0.0,0,0,85
0.717,126.98,0.0327,0.741,0.125,0.0,90.0,90.10144927536231,0.9032137072975583,-1,0,88
0.579,107.071,0.054,0.669,0.104,0.0,95.0,94.46341463414635,1.289688201600223,0,0,92
0.535,157.969,0.0304,0.521,0.122,0.0,100.0,99.875,0.33071891388307384,0,0,100
0.786,112.966,0.0634,0.67,0.304,0.0,83.0,82.6774193548387,0.4674637660061109,0,0,82
0.785,116.712,0.0356,0.7,0.0881,0.0,96.0,96.21951219512195,0.6443826738352636,0,0,95
0.618,130.019,0.0983,0.776,0.0761,0.0,91.0,91.22330097087378,0.7495246239075255,0,0,90
0.604,81.012,0.0273,0.722,0.0804,0.0,89.0,89.25,0.7723929758166558,0,0,88
0.69,103.969,0.0285,0.701,0.185,0.0,96.0,95.8170731707317,1.2110069261295944,0,0,93
0.934,117.038,0.0412,0.741,0.0398,0.0,80.0,80.2,0.7954415583355403,0,0,79
0.731,127.986,0.0264,0.638,0.245,0.0,89.0,88.41935483870968,1.2121480147132861,0,0,86
0.544,181.489,0.0687,0.432,0.0933,0.0,89.0,88.58181818181818,0.4932603624091105,0,0,88
0.957,139.982,0.0421,0.742,0.305,0.0,91.0,91.12727272727273,0.714894663685,0,0,90
0.962,126.035,0.034,0.804,0.114,0.0,88.0,87.89516129032258,0.9403032145407961,0,0,86
0.927,138.003,0.0436,0.849,0.068,0.0,58.0,57.56818181818182,3.1071598202796604,0,0,52
0.22,129.994,0.0502,0.701,0.15,0.0,85.0,85.3125,0.7043392293490403,0,0,84
0.332,123.994,0.0295,0.635,0.11,0.0,91.0,90.875,0.7603453162872774,0,0,90
0.338,115.94,0.033,0.53,0.133,0.0,89.0,89.30555555555556,0.4606423319938055,0,0,90
