track__energy,track__valence,track__tempo,track__speechiness,track__danceability,track__liveness,velocity,median_popularity,mean_popularity,std_popularity,trend,retrieval_frequency,current_popularity
0.73,0.33,171.005,0.059,0.53,0.0902,0.0,98.0,98.0,0.0,0,0,98
0.8,0.56,169.928,0.0996,0.53,0.33,0.0,95.0,95.0,0.0,0,0,95
0.507,0.438,104.978,0.0358,0.747,0.117,0.0,97.0,97.10185185185185,0.30245338835298285,0,0,97
0.904,0.788,167.033,0.0442,0.739,0.0948,0.0,85.0,85.36585365853658,0.4816687233690609,0,0,85
0.754,0.717,126.98,0.0327,0.741,0.125,0.0,86.0,86.375,0.4841229182759271,0,0,85
0.586,0.579,107.071,0.054,0.669,0.104,0.0,88.0,88.41025641025641,0.7915563610478528,0,0,87
0.592,0.535,157.969,0.0304,0.521,0.122,0.0,100.0,99.83333333333333,0.3726779962499649,0,0,100
0.91,0.786,112.966,0.0634,0.67,0.304,0.0,81.0,81.44827586206897,0.4973174173053778,0,0,81
0.582,0.785,116.712,0.0356,0.7,0.0881,-0.010638297872340425,94.0,94.05128205128206,0.2725678413521705,-1,0,93
0.667,0.618,130.019,0.0983,0.776,0.0761,0.0,86.0,85.87058823529412,1.0492376537178025,0,0,84
0.709,0.604,81.012,0.0273,0.722,0.0804,0.0,87.0,86.6,0.48989794855663554,0,0,86
0.76,0.69,103.969,0.0285,0.701,0.185,0.0,90.0,90.51282051282051,0.69325670946645,0,0,90
0.62,0.934,117.038,0.0412,0.741,0.0398,0.0,77.0,77.38181818181818,0.4858323351231778,0,0,77
0.855,0.731,127.986,0.0264,0.638,0.245,0.0,84.0,84.44827586206897,0.4973174173053778,0,0,84
0.583,0.544,181.489,0.0687,0.432,0.0933,0.0,87.0,87.04545454545455,0.20829889522526548,0,0,87
0.757,0.957,139.982,0.0421,0.742,0.305,0.0,89.0,88.87272727272727,0.3839765833080523,0,0,88
0.957,0.962,126.035,0.034,0.804,0.114,0.0,84.0,83.97087378640776,0.7562851298699204,0,0,83
0.699,0.927,138.003,0.0436,0.849,0.068,-0.025,43.0,43.305882352941175,2.454400750688994,-1,0,39
0.751,0.22,129.994,0.0502,0.701,0.15,0.0,83.0,83.0,0.0,0,0,83
0.601,0.332,123.994,0.0295,0.635,0.11,0.0,88.0,88.44067796610169,0.4964684242670105,0,0,88
0.406,0.338,115.94,0.033,0.53,0.133,0.0,90.0,89.82758620689656,0.377739694831149,0,0,90
0.646,0.295,115.842,0.0427,0.645,0.074,0.0,81.0,81.0,0.0,0,0,81
0.782,0.655,119.992,0.042,0.727,0.225,0.0,87.0,86.63636363636364,0.6138888369503319,0,0,86
0.854,0.314,140.515,0.275,0.477,0.065,-0.01098901098901099,92.0,91.68571428571428,0.5221619109284876,-1,0,90
0.743,0.128,161.877,0.0481,0.417,0.191,0.0,85.0,84.53125,0.4990224819584785,0,0,84
0.604,0.242,159.92,0.0337,0.561,0.104,0.0,89.0,89.0,0.0,0,0,89
0.671,0.738,114.902,0.0532,0.75,0.108,0.0,5.0,5.137931034482759,1.0739594139584439,0,0,4
0.4,0.945,124.987,0.0643,0.893,0.0632,0.0,86.0,86.4,0.4898979485566356,0,0,86
0.471,0.219,105.029,0.0603,0.472,0.14,0.0,86.0,85.5925925925926,0.49135182079339257,0,0,85
0.668,0.64,90.969,0.0282,0.646,0.212,-0.012195121951219513,82.0,82.18823529411765,0.4199192540605823,-1,0,81
0.619,0.337,177.937,0.0368,0.411,0.11,0.0,87.0,87.03125,0.7699178121721825,0,0,86
0.454,0.912,159.982,0.0584,0.689,0.0707,0.0,89.0,89.0,0.0,0,0,89
0.386,0.281,192.004,0.0308,0.504,0.0961,0.0,84.0,84.38181818181818,0.4858323351231778,0,0,84
0.472,0.214,101.061,0.0776,0.898,0.141,0.0,88.0,88.58620689655173,0.6704214515594338,0,0,88
0.518,0.37,126.089,0.0551,0.875,0.125,0.0,87.0,86.9375,0.8637671850678283,0,0,85
0.899,0.531,130.047,0.126,0.802,0.101,0.0,79.0,77.6,2.0170700108254613,1,0,79
0.714,0.554,129.976,0.0309,0.681,0.232,0.0,88.0,88.15625,0.8699631816921909,0,0,87
0.668,0.787,128.027,0.0469,0.924,0.0678,0.0,93.0,93.23636363636363,0.4248480525653791,0,0,93
0.488,0.253,84.999,0.038,0.525,0.135,0.0,85.0,85.2,0.4,0,0,85
0.557,0.211,84.989,0.101,0.582,0.121,0.0,86.0,86.0,0.0,0,0,86
0.946,0.747,151.647,0.0447,0.599,0.0826,0.0,84.0,84.40322580645162,0.49054536534663074,0,0,84
0.561,0.841,150.069,0.0411,0.669,0.0954,0.0,88.0,88.0,0.0,0,0,88
0.64,0.19,84.828,0.0442,0.264,0.151,0.0,89.0,89.4,0.4898979485566356,0,0,89
0.618,0.32,126.031,0.0923,0.853,0.0972,0.0,87.0,87.05714285714286,0.5314592925068078,-1,0,86
0.416,0.297,94.926,0.0254,0.492,0.203,-0.014285714285714285,75.0,74.4047619047619,2.996502118022054,-1,0,69
0.707,0.691,82.045,0.0635,0.786,0.121,0.0,87.0,86.5,0.6571287406727709,1,0,87
0.729,0.816,111.004,0.0321,0.749,0.113,0.0,86.0,85.74757281553399,0.4344049965280989,0,0,86
0.5,0.801,117.896,0.0651,0.664,0.0966,0.0,87.0,86.96,0.19595917942265423,0,0,87
0.702,0.382,81.053,0.0298,0.486,0.0912,0.0,86.0,86.0,0.0,0,0,86
0.887,0.889,127.003,0.0683,0.936,0.0582,0.0,82.0,81.64102564102564,0.6597271964240311,0,0,81
0.745,0.262,180.098,0.161,0.464,0.363,0.0,86.0,86.33333333333333,0.8422598823413765,0,0,85
0.531,0.209,81.036,0.207,0.892,0.0824,0.0,81.0,80.85185185185185,0.8143938306405936,0,0,80
0.756,0.838,116.034,0.032,0.66,0.193,0.0,92.0,92.03448275862068,0.18246560765962697,0,0,92
0.926,0.861,172.638,0.0479,0.61,0.0821,0.0,85.0,85.37179487179488,0.4832840211530965,0,0,85
0.621,0.782,173.083,0.0291,0.473,0.19,0.0,84.0,84.32710280373831,0.4691551550658368,0,0,84
